year_group,topic_id,topic_label,num_sentences,representative_sentences
1999_2000,6,election party voters,11,"['I think that the election campaign without a smear war means that we shouldn’t juggle with facts.', 'I believe that the influence of the government and presidential agencies on the work of the parliament should be different: it should not be the support to a particular group fighting for an office, position or a car with flashing lights.', 'And indeed initially no one would touch me because everybody thought it would be a waste of time to promote an unfit candidate.']"
2001,13,terrorism terrorists fight,15,"['So I call on all those who hear us and see us and want to hear and see us and to understand, to cooperate with us to solve one of the key problems of our time: the fight against extremism and terrorism.', 'But I repeat, we will act steadfastly, both by fighting those militants who break the law and those who yield to their provocations.', 'I am sure that if we take terrorist threats seriously and focus our attention, our efforts, material resources and organisational capacity on it, we will be able to neutralise these threats, I have no doubt about it.']"
2002,13,terrorism terrorists fight,12,"['Today we are confronting there international terrorism leavened with separatism, which are now even hard to tell from one another.', 'We will continue acting in this manner, establishing a political dialogue with the population and waging an uncompromising fight against terrorists.', 'And if, I repeat, we tackle all these problems together and make decisions together I think the implementation of these decisions can be as effective as the fight against al-Qaeda or the Taliban.']"
2003,82,iraq iraqi kurdish,20,"[""That's, strictly speaking, towards what all our efforts are being bent — not towards shielding the Baghdad regime or making a screen for it, but towards solving problems by proceeding from common interests and in accordance with the rules of international law."", 'True, it is about Iraq and about a concrete problem, but I want to draw attention to the fact that this is the first attempt since the end of World War II to resolve an acute, serious international problem, an acute crisis in an outside-a-bloc mode.', 'I would like to note that joint work at the UN Security Council, including joint work with the United States, the unanimous adoption of Resolution 1441 that does not authorize the use of force but that has made it possible to resume the activities of international inspectors as well as the set of other measures to influence the Iraqi leadership marked the start of practical activities to disarm Iraq by peaceful means.']"
2004,13,terrorism terrorists fight,18,"['But the commonly accepted international principle of fighting terror is an unconditional refusal to hold any dialogue with terrorists, as any contacts with terrorists encourage them to commit new, even bloodier crimes.', 'This is why we need to act together and make an effective joint effort to neutralise terrorist networks and cut off their financial base.', 'The mission of the entire world community today is to ensure these terrorists meet with due resistance and to free the world from this scourge.']"
2005,3,regions regional municipal,14,"['And of course, it is very important to create stable conditions of work in these sectors over quite a long period, so that the state does not have the ability to worsen the legal or economic situation for participants of this process, and for those who will be registered in these zones as residents.', 'It seems to me, and I hope you will agree with me, that the government and the regional authorities have not completely fulfilled the task that we had spoken about, namely that of ensuring that decisions made would not worsen the situation of people who do need some help from the state.', 'I am certain that the effectiveness of these measures depends directly on how well organised work is at federal level and in the regions, on the support that search groups receive in the regions and on what is done to encourage the formation of new detachments and groups working in this area.']"
2006,17,energy global sector,25,"['I was very happy to see that RAO Unified Energy Systems itself came up with a proposal for the government regarding some changes to the deadlines and phases in this modernisation process, because they had begun to realise the full social and economic consequences and the consequences for the company itself of implementing the measures that had been proposed for the reorganisation of the sector and the creation of separate generation, dispatch and grid management companies and so on.', 'This is a pity, a pity above all for you, because if you put in place competitive conditions for our energy resources it would greatly increase your energy stability.', 'In addition to reconciling the interests of stakeholders in the global energy interaction, we will have to identify practical measures aimed at ensuring sustainable access of the world economy to traditional sources of energy, as well as promoting energy-saving programmes and developing alternative energy sources.']"
2007,4,thank president mr,16,"['Regarding my friends inside Russia, those who give a positive assessment of my work, at least, I can but thank them, but I also have to say to them that they do not represent the entire Russian people.', 'I offer you my sincere congratulations on your new ranks and posts and I wish you continued success in serving Russia.', 'Ladies and Gentlemen, First of all, I would like to thank Prime Minister of Greece Konstantinos Karamanlis and our Greek partners for their hospitality and for ensuring all the conditions for our constructive work together.']"
2008_2009,4,thank president mr,8,"['Gurbanguly Myalikkulievich, I want to wish you a warm welcome once more and thank you for accepting our invitation.', 'I want to thank all the candidates who took part honourably in the presidential election campaign, but I also want to say that the election is over now and I hope very much that the passions of the campaign period will remain in the past and that everyone who genuinely loves our Russia will now unite their efforts and work for the good of our great country’s people.', 'Madam Chancellor, please allow me to warmly welcome you to Moscow!']"
2012,0,defence military armed,28,"['On this basis, we will continue our efforts to supply the troops with modern technology, to develop defence infrastructure and to increase the intensity of combat training and education.', 'Simultaneously we must address systemic problems: to introduce more stringent requirements for the financial and economic efficiency of defence enterprises, promote real competition, including through the involvement of civilian companies and private businesses in defence programmes, where it is justified and can be effective.', 'For that, mass production of modern military equipment should increase multi-fold, and these products must be as good as, or even surpass, similar foreign products, including those just developed at the moment.']"
2013,0,defence military armed,44,"['Hence, we must be prepared to defend our country and its citizens at any time, to be able to predict future developments, and to develop our military capabilities in accordance with this prognosis.', 'Let me add that we will succeed in achieving our goals only if we continue to rely on our own traditions, the military development experience our country has already built up, and the professionals who are devoted to the Armed Forces.', 'Our goal is to create modern, mobile and well-equipped Armed Forces that can respond rapidly and adequately to all potential threats, guarantee peace, and protect our country, our people and our allies, and the future of our state and nation.']"
2014,2,ukraine ukrainian kiev,67,"['As for our readiness to help Ukraine, I have already spoken about this and can repeat it now: both the loan we spoke about and the gradual quarterly decrease in energy prices, first and foremost gas, are based on necessity and our wish to provide support – not to a particular government, but to the Ukrainian nation.', 'If I were in the shoes of those who consider themselves the legitimate authorities, I would not waste time and go through all the necessary procedures, because they do not have a national mandate to conduct the domestic, foreign and economic policy of Ukraine, and especially to determine its future.', 'Let me say again that in situations when people call for fundamental political reform and new faces at the top, and with full justification too – and in this I agree with the Maidan – there is a risk too that you’ll suddenly get some upstart nationalist or semi-fascist lot sprout up, like the genie suddenly let out of the bottle – and we see them today, people wearing armbands with something resembling swastikas, still roaming around Kiev at this moment – or some anti-Semite or other.']"
2015,11,syria syrian settlement,32,"['In this context, we call on all of our friends, including our friends in Syria, to do everything possible to establish constructive dialogue between all countries that want to fight terrorism and, of course, continue developing constructive relations with everyone who is already giving Syria their support today.', 'Clearly, without active participation by the Syrian authorities and military, without participation by the Syrian army, as the soldiers fighting with the Islamic State say, you cannot expel terrorists from this nation, as well as the region overall, it is impossible to protect the multi-ethnic and multi-faith people of Syria from elimination, enslavement and barbarism.', 'But right now, as I said, we need to focus on joining forces between the Syrian government, the Kurdish militia, the so-called moderate opposition, and nations in the region to fight the threat against Syria’s very statehood and the fight against terrorism – so that together, with our efforts combined, we can solve this problem.']"
2016,0,defence military armed,33,"['I would like the Defence Minister and his colleagues on location to report what they are working on, what forces are deployed, how the units are interacting and how the modern equipment and armaments the troops are receiving are performing.', 'Let me say again that this is not simply a task we must ultimately resolve in order to ensure our country’s defence capability, but is also an undertaking that will have very positive benefits for the civilian production sector.', 'All of you – pilots, sailors, service personnel of control bodies, of special purpose units, intelligence, communication and procurement, military advisers – acted consistently and with precision.']"
2017,11,syria syrian settlement,35,"['With regard to the sanctions, I think it is totally inappropriate in relation to the Syrian leadership because it would not help the negotiation process, and instead would damage or undermine trust during the negotiation process.', 'They noted that largely thanks to the active role of Russia and Turkey, it became possible not only to ensure the cessation of hostilities between Syrian government forces and the armed opposition but also to begin substantive talks, direct and concrete negotiations between the parties to the conflict in Astana, the capital of Kazakhstan.', 'Needless to say, for peace and calm to hold in the region and to ensure the restoration of Syria and other countries in the region, the principle of territorial integrity should be observed, and in this sense, the restoration of Syria’s territorial integrity is, in our view, in my view, an indispensable condition for a full-scale settlement in that country.']"
2018,5,sport athletes olympic,34,"['At the same time, while admitting our own failures, mistakes, lack of attention to the things relevant and important in modern sports, we really hope that our colleagues in international sport organisations will do everything to make sure these organisations do not become departments of certain countries’ government bodies, no matter how powerful and influential these countries seem at first glance.', ""I know that you did this not only because I asked, but also because the company and its senior executives are committed to supporting children's sports on a systemic basis."", 'Naturally, we will give our athletes the broadest legal support while cooperating with international sports organisations and the IOC to promote the Olympic movement, and to help sports and the Olympic movement enhance their independence.']"
2019,0,defence military armed,34,"['And not just in terms of enhancing the country’s defence capability and security, although this is the primary goal, but in influencing the consolidation of our scientific potential and the development of unique technological assets.', 'Today, we need to use the personnel, knowledge, competences and materials we have acquired from developing the next generation of weapons to produce the same kind of results for civilian applications.', 'Much experience was gained by practically all the commanders of the Ground Forces, by covert operations forces and military police, warship crews, army, tactical, and strategic and military transport aviation.']"
2020,1,medical healthcare pandemic,123,"['I ask you to address this subject specifically today and come up with concrete proposals on ways to improve the situation in healthcare.', 'People think about their lives, their health, about how to get high-quality and timely medical aid without obstacles and when they need it.', 'I know that last year a number of regions saw a disruption in medication supplies as the regions’ purchases were not made, with certain officials treating it as if it were some sort of office supplies purchases claiming it was not a big deal and new tenders would be announced.']"
2021,1,medical healthcare pandemic,95,"['Nevertheless, we should constantly stand by our colleagues and offer them methodological, organisational and administrative assistance as well as financial assistance if needed, like we have been, and this also applies to the Healthcare Ministry.', 'So, the key question today is how to build a programme of actions in order to not only quickly restore the global and national economies affected by the pandemic, but to ensure that this recovery is sustainable in the long run, relies on a high-quality structure and helps overcome the burden of social imbalances.', 'Therefore, we must learn the lessons from the current situation and suggest measures aimed at improving the monitoring of the emergence of such diseases and the development of such cases in the world.']"
2022,2,ukraine ukrainian kiev,60,"['After all, the United States and NATO can tell Ukraine, and others: we want to ensure your security, we value it and respect your aspirations, but we cannot accept you because we have other international commitments that we adopted earlier.', 'As for Donbass, Ukrainian leaders first say that they will implement the Minsk agreements and then they denounce them and say they will never do this because “this would destroy the Ukrainian state.” I have only just mentioned this.', 'Concerning the Minsk agreements, if they are still alive and if they have any prospects at all, I believe there is simply no alternative.']"
2023_2024,0,defence military armed,25,"['There is nothing unusual here, this is common practice; but this time the ship is equipped with the cutting-edge Zircon hypersonic missile system, which has no analogue – this is a sea-based hypersonic system, and other new generation weapons.', 'Importantly, our next steps to reinforce the Army and the Navy and to secure the current and future development of the Armed Forces must be based on actual combat experience gained during the special military operation, which is extremely important, I would even say absolutely invaluable to us.', 'Officers and sergeants who act as competent, modern and decisive commanders, and they are many, will be promoted to higher positions as a matter of priority, sent to military universities and academies, and will serve as a powerful personnel reserve for the Armed Forces.']"
